"","t","y","seq","sign"
"67",7,1.15003692363809,6,1
"68",8,3.68442767912018,6,1
"69",9,2.35939142789216,6,1
"70",10,3.00083599314395,6,1
"71",11,1.81824293747028,6,1
"72",12,2.15300022662462,6,1
"73",1,0,7,1
"74",2,0.530520005985568,7,1
"75",3,-0.479090845797729,7,1
"76",4,-0.439396453085371,7,1
"77",5,-0.31367459232593,7,1
"78",6,0.239630500410509,7,1
"79",7,-0.235770348393229,7,1
"80",8,0.434560980225309,7,1
"81",9,1.61953141087744,7,1
"82",10,0.991272895040885,7,1
"83",11,2.59170148747321,7,1
"84",12,1.77641737162849,7,1
"85",1,0,8,0
"86",2,1.27955303953616,8,0
"87",3,3.0898688251037,8,0
"88",4,2.94583338791619,8,0
"89",5,2.43646033753488,8,0
"90",6,2.7207292914457,8,0
"91",7,3.14229795680698,8,0
"92",8,4.19085349549506,8,0
"93",9,3.07609291854077,8,0
"94",10,2.96551527836463,8,0
"95",11,3.241764361447,8,0
"96",12,2.265133278322,8,0
"97",1,0,9,1
"98",2,0.434803867143595,9,1
"99",3,0.803166546304672,9,1
"100",4,-0.485047627661227,9,1
"101",5,-0.261492027814056,9,1
"102",6,1.12975221011038,9,1
"103",7,0.925706597749852,9,1
"104",8,2.46619535271433,9,1
"105",9,4.1180216482337,9,1
"106",10,5.55939996567572,9,1
"107",11,4.51442123394783,9,1
"108",12,2.51866661804993,9,1
"109",1,0,10,1
"110",2,-2.68742160000075,10,1
"111",3,-1.09204019372398,10,1
"112",4,-1.1505556979826,10,1
"113",5,-1.04147743159707,10,1
"114",6,1.67735345531092,10,1
"115",7,2.62086873980243,10,1
"116",8,1.80556061322361,10,1
"117",9,2.83366759853289,10,1
"118",10,2.45329775546195,10,1
"119",11,2.42623162086789,10,1
"120",12,3.48616692643291,10,1
"121",1,0,11,1
"122",2,-1.35948310364467,11,1
"123",3,-1.26985705897318,11,1
"124",4,-1.34046438373858,11,1
"125",5,-1.9890247968556,11,1
"126",6,-2.3421352268272,11,1
"127",7,-3.64102849443634,11,1
"128",8,-5.87329975536746,11,1
"129",9,-4.55447590770006,11,1
"130",10,-6.56570011497945,11,1
"131",11,-7.72370233809685,11,1
"132",12,-9.12190279304933,11,1
"133",1,0,12,0
"134",2,0.167038149168298,12,0
"135",3,-0.956617426908841,12,0
"136",4,-1.03369925990265,12,0
"137",5,-1.43344571646187,12,0
"138",6,-0.185146905180988,12,0
"139",7,-0.43932571753065,12,0
"140",8,-0.312764477520292,12,0
"141",9,-0.877682151981517,12,0
"142",10,-0.550651443579272,12,0
"143",11,0.120768263322117,12,0
"144",12,0.934400244649875,12,0
"145",1,0,13,1
"146",2,0.027734127049636,13,1
"147",3,-1.03018475485122,13,1
"148",4,-1.72207477384918,13,1
"149",5,-1.86159789729427,13,1
"150",6,-1.0155433717764,13,1
"151",7,-0.650458538829196,13,1
"152",8,-0.029986424840973,13,1
"153",9,-0.5876902310454,13,1
"154",10,-2.21996704669029,13,1
"155",11,-2.53906874030402,13,1
"156",12,-2.27671475610512,13,1
"157",1,0,14,0
"158",2,0.413535437154281,14,0
"159",3,0.0306736539651137,14,0
"160",4,0.894109419011795,14,0
"161",5,0.866041263587448,14,0
"162",6,-0.779452380861621,14,0
"163",7,-2.0303578638603,14,0
"164",8,-1.73588284589508,14,0
"165",9,0.119058381198971,14,0
"166",10,0.399591684138495,14,0
"167",11,-1.0799388019235,14,0
"168",12,-0.581578530077848,14,0
"169",1,0,15,1
"170",2,-0.610484930587547,15,1
"171",3,-0.115968845379407,15,1
"172",4,-1.34003298759451,15,1
"173",5,-0.291685261458484,15,1
"174",6,-1.00530558185082,15,1
"175",7,-2.29585926978086,15,1
"176",8,-3.21070804336936,15,1
"177",9,-3.70455477310391,15,1
"178",10,-3.43962226962402,15,1
"179",11,-3.28609424821052,15,1
"180",12,-2.26336273461604,15,1
"181",1,0,16,0
"182",2,0.0234590316568516,16,0
"183",3,-0.937386937507287,16,0
"184",4,-0.696260224099893,16,0
"185",5,-0.381055388848532,16,0
"186",6,-0.706529804400569,16,0
"187",7,-0.922664060498185,16,0
"188",8,-0.806549807289002,16,0
"189",9,-0.903517607056464,16,0
"190",10,0.266056038746566,16,0
"191",11,-1.0315083956045,16,0
"192",12,-1.68172807394107,16,0
"193",1,0,17,1
"194",2,-0.851901831827958,17,1
"195",3,-0.44580958148344,17,1
"196",4,-2.10965960749702,17,1
"197",5,-2.57644130954861,17,1
"198",6,-3.17853423430166,17,1
"199",7,-3.1089797442658,17,1
"200",8,-3.41885865769786,17,1
"201",9,-4.16991783240266,17,1
"202",10,-5.52560316808407,17,1
"203",11,-5.90943609783938,17,1
"204",12,-5.98934980085718,17,1
"205",1,0,18,0
"206",2,0.971791826064362,18,0
"207",3,1.42655405369399,18,0
"208",4,0.306630435780328,18,0
"209",5,2.61185711730739,18,0
"210",6,2.47846194166958,18,0
"211",7,2.0884266801227,18,0
"212",8,1.85625735720751,18,0
"213",9,1.26114543463385,18,0
"214",10,-0.39781433519204,18,0
"215",11,0.0680837822828357,18,0
"216",12,-1.10790716449846,18,0
"217",1,0,19,0
"218",2,0.543219364778498,19,0
"219",3,-0.370801692558304,19,0
"220",4,-0.508020980858566,19,0
"221",5,-0.0473764138311377,19,0
"222",6,0.541433701637762,19,0
"223",7,2.15260996399921,19,0
"224",8,1.13296032768314,19,0
"225",9,0.695036392427802,19,0
"226",10,1.26817149166599,19,0
"227",11,0.131653788024676,19,0
"228",12,0.245100171422001,19,0
"229",1,0,20,1
"230",2,-1.69511484227384,20,1
"231",3,-0.849606156717856,20,1
"232",4,1.50120083662495,20,1
"233",5,2.84413262224194,20,1
"234",6,3.31635948269275,20,1
"235",7,3.31760486574425,20,1
"236",8,4.41856905319228,20,1
"237",9,4.71332573812409,20,1
"238",10,5.9445107237447,20,1
"239",11,5.78319297363861,20,1
"240",12,6.31218039864199,20,1
"241",1,0,21,0
"242",2,-0.535116359777614,21,0
"243",3,1.19762278404118,21,0
"244",4,0.466762860736144,21,0
"245",5,0.834686936095216,21,0
"246",6,0.8955717726263,21,0
"247",7,-0.883720082305296,21,0
"248",8,0.0706690211930113,21,0
"249",9,1.65298415028976,21,0
"250",10,0.194005376787225,21,0
"251",11,-0.271782288302674,21,0
"252",12,-0.122617222399163,21,0
"253",1,0,22,1
"254",2,-0.28532336410204,22,1
"255",3,-1.27908171385698,22,1
"256",4,-2.33372522206529,22,1
"257",5,-3.72551619124036,22,1
"258",6,-4.63971152283775,22,1
"259",7,-3.56572921753719,22,1
"260",8,-3.38769990372559,22,1
"261",9,-4.38444095255238,22,1
"262",10,-6.28084039351236,22,1
"263",11,-5.69426534740443,22,1
"264",12,-5.41567566938983,22,1
"265",1,0,23,1
"266",2,0.395137762144635,23,1
"267",3,0.306560268942402,23,1
"268",4,0.627597662291974,23,1
"269",5,0.378472181314555,23,1
"270",6,0.00608456676101904,23,1
"271",7,1.50095197934254,23,1
"272",8,1.40258373256062,23,1
"273",9,1.79105185650639,23,1
"274",10,2.3375441666984,23,1
"275",11,3.19194565374371,23,1
"276",12,1.67424592878792,23,1
"277",1,0,24,1
"278",2,-1.0652721418522,24,1
"279",3,1.02941616843683,24,1
"280",4,0.179712609754352,24,1
"281",5,0.250930354275721,24,1
"282",6,-0.254236548493233,24,1
"283",7,-0.265332472683958,24,1
"284",8,-1.88253544713559,24,1
"285",9,-2.49623761795696,24,1
"286",10,-2.66171125242666,24,1
"287",11,-2.03645030837434,24,1
"288",12,-2.04308762025638,24,1
"289",1,0,25,1
"290",2,-1.76647983678377,25,1
"291",3,-1.0031697524188,25,1
"292",4,-1.30163119487476,25,1
"293",5,-0.538465837893623,25,1
"294",6,-2.03010325764276,25,1
"295",7,-3.6809519798339,25,1
"296",8,-4.16034117622986,25,1
"297",9,-4.97425204824108,25,1
"298",10,-4.78738144404803,25,1
"299",11,-5.81885969936803,25,1
"300",12,-6.83405654701871,25,1
"301",1,0,26,1
"302",2,-0.252513539735088,26,1
"303",3,-1.26548070143966,26,1
"304",4,1.23071250283559,26,1
"305",5,2.81119060130999,26,1
"306",6,3.68854075439289,26,1
"307",7,3.295952483284,26,1
"308",8,4.13950100943284,26,1
"309",9,3.21542117124559,26,1
"310",10,3.97571330158177,26,1
"311",11,3.30994690759732,26,1
"312",12,3.71622966016486,26,1
"313",1,0,27,1
"314",2,-1.0207645674674,27,1
"315",3,0.0853575854738482,27,1
"316",4,0.264230588614674,27,1
"317",5,-0.0235626648107551,27,1
"318",6,0.939964088367767,27,1
"319",7,2.78260296875055,27,1
"320",8,4.52783074072197,27,1
"321",9,3.96392077572554,27,1
"322",10,4.71922691111649,27,1
"323",11,3.69993229524841,27,1
"324",12,4.69875551905779,27,1
"325",1,0,28,1
"326",2,-1.62545535761755,28,1
"327",3,-0.549282440616848,28,1
"328",4,-0.172554915900076,28,1
"329",5,0.0203346454842082,28,1
"330",6,0.78876163019481,28,1
"331",7,1.68314200746634,28,1
"332",8,2.5534728510589,28,1
"333",9,2.09585745667494,28,1
"334",10,4.02232308170276,28,1
"335",11,4.69369614155418,28,1
"336",12,5.4981321398439,28,1
"337",1,0,29,1
"338",2,-2.00067393316392,29,1
"339",3,-2.02681405587214,29,1
"340",4,0.123135624359338,29,1
"341",5,1.07428858513377,29,1
"342",6,0.39048742737363,29,1
"343",7,0.611946808544656,29,1
"344",8,0.697749957775259,29,1
"345",9,0.644351038113474,29,1
"346",10,2.3744076144974,29,1
"347",11,4.53574725908192,29,1
"348",12,4.00686651465344,29,1
"349",1,0,30,0
"350",2,1.52331302797281,30,0
"351",3,-0.132897838406867,30,0
"352",4,0.395887173403646,30,0
"353",5,0.337366164814669,30,0
"354",6,-1.39871870592739,30,0
"355",7,-0.832228932021284,30,0
"356",8,1.39326638952619,30,0
"357",9,-0.469368211426081,30,0
"358",10,1.39217794974375,30,0
"359",11,2.69527971015507,30,0
"360",12,2.21356218424227,30,0
"361",1,0,31,0
"362",2,-0.916660001408804,31,0
"363",3,0.503073114509361,31,0
"364",4,-1.18717679098952,31,0
"365",5,-0.922220786279929,31,0
"366",6,-1.36724668818605,31,0
"367",7,-0.219099580295047,31,0
"368",8,-0.790314434594891,31,0
"369",9,0.966566190805483,31,0
"370",10,1.43040804913131,31,0
"371",11,0.386978677078172,31,0
"372",12,0.337102038076131,31,0
"373",1,0,32,0
"374",2,-0.382129907424338,32,0
"375",3,-0.730595679162608,32,0
"376",4,-1.91970518138536,32,0
"377",5,-2.38562514247197,32,0
"378",6,-1.10861278556121,32,0
"379",7,0.980672900580448,32,0
"380",8,1.01405117324284,32,0
"381",9,-0.27692857147349,32,0
"382",10,-1.52500856685295,32,0
"383",11,-0.894724046998044,32,0
"384",12,-0.553677059439519,32,0
"385",1,0,33,0
"386",2,-1.23077533432615,33,0
"387",3,-2.09146582035667,33,0
"388",4,-1.90558476183819,33,0
"389",5,-1.62783094097125,33,0
"390",6,-1.90360001266361,33,0
"391",7,-1.56459102572568,33,0
"392",8,-2.05680099458664,33,0
"393",9,-1.27428183339219,33,0
"394",10,-0.783979356705392,33,0
"395",11,-1.32161880803851,33,0
"396",12,-0.410499210534407,33,0
"397",1,0,34,0
"398",2,-1.72845627694184,34,0
"399",3,-3.43176036876028,34,0
"400",4,-5.02386823847809,34,0
"401",5,-4.57691666729834,34,0
"402",6,-5.10982762801274,34,0
"403",7,-4.78912818263505,34,0
"404",8,-5.29069377009792,34,0
"405",9,-4.66400336655502,34,0
"406",10,-3.09914445434848,34,0
"407",11,-3.20467835004845,34,0
"408",12,-2.62839661854155,34,0
"409",1,0,35,1
"410",2,-1.18943992815592,35,1
"411",3,-2.36064551070733,35,1
"412",4,-2.22263316709195,35,1
"413",5,-2.1276094617114,35,1
"414",6,-2.84872901770882,35,1
"415",7,-2.9159534875484,35,1
"416",8,-3.83175356690956,35,1
"417",9,-6.16181546802003,35,1
"418",10,-6.95994750506135,35,1
"419",11,-6.59588348932668,35,1
"420",12,-6.56181927512143,35,1
"421",1,0,36,0
"422",2,1.19998288906952,36,0
"423",3,2.06592489333255,36,0
"424",4,2.40476980386611,36,0
"425",5,2.27631497075757,36,0
"426",6,3.00875558667387,36,0
"427",7,2.14356636479344,36,0
"428",8,2.29284858763793,36,0
"429",9,1.5980530419153,36,0
"430",10,1.80879481867176,36,0
"431",11,1.529751702858,36,0
"432",12,2.07883117896577,36,0
"433",1,0,37,0
"434",2,-2.66950063518049,37,0
"435",3,-1.74576403512285,37,0
"436",4,-3.40575815545986,37,0
"437",5,-4.00123358427935,37,0
"438",6,-4.2647330882891,37,0
"439",7,-4.10410407087697,37,0
"440",8,-3.79355760388655,37,0
"441",9,-3.37899404950672,37,0
"442",10,-2.88402954282373,37,0
"443",11,-2.35329772803857,37,0
"444",12,-2.13225308265753,37,0
"445",1,0,38,1
"446",2,-0.0871572585973755,38,1
"447",3,-0.0775135098399227,38,1
"448",4,0.742481411803668,38,1
"449",5,1.87094811659416,38,1
"450",6,2.62382038348108,38,1
"451",7,5.06038968934249,38,1
"452",8,4.56189243222201,38,1
"453",9,5.588638248243,38,1
"454",10,4.77524637366069,38,1
"455",11,5.79315850764685,38,1
"456",12,6.34060837417507,38,1
"457",1,0,39,0
"458",2,1.51292535995487,39,0
"459",3,1.39097609917388,39,0
"460",4,0.0700879524127396,39,0
"461",5,0.279479915882803,39,0
"462",6,-0.201551565872139,39,0
"463",7,1.17745517882822,39,0
"464",8,0.461621020302803,39,0
"465",9,0.315869915663295,39,0
"466",10,-0.205193904610077,39,0
"467",11,-0.63414133989956,39,0
"468",12,0.874886234724687,39,0
"469",1,0,40,0
"470",2,0.507543012389069,40,0
"471",3,1.08835802304203,40,0
"472",4,2.40977048760452,40,0
"473",5,2.49317818402508,40,0
"474",6,0.315747401404978,40,0
"475",7,0.507867692932429,40,0
"476",8,0.491785792046378,40,0
"477",9,-0.123113283831936,40,0
"478",10,-1.12513271248808,40,0
"479",11,-0.511707903479359,40,0
"480",12,2.09628355439846,40,0
"481",1,0,41,0
"482",2,0.00536970139109218,41,0
"483",3,-0.298212582072524,41,0
"484",4,-0.869323132100055,41,0
"485",5,-1.88502487694041,41,0
"486",6,-2.63520685387147,41,0
"487",7,-2.26147514332653,41,0
"488",8,-1.69089854841604,41,0
"489",9,-0.500141493682854,41,0
"490",10,0.494067014470456,41,0
"491",11,-0.10699469747335,41,0
"492",12,0.0667429916118446,41,0
"493",1,0,42,1
"494",2,-1.11477780062559,42,1
"495",3,0.21441649909132,42,1
"496",4,0.514225960578954,42,1
"497",5,-0.808383957805475,42,1
"498",6,0.886734671192358,42,1
"499",7,-1.17051038591907,42,1
"500",8,-0.906362261108211,42,1
"501",9,-0.948462560058728,42,1
"502",10,-2.46180688453303,42,1
"503",11,-2.22534869205615,42,1
"504",12,-2.55412031747746,42,1
"505",1,0,43,1
"506",2,-1.09667358134853,43,1
"507",3,-1.16750173910825,43,1
"508",4,-1.16630122728973,43,1
"509",5,-1.00390695148488,43,1
"510",6,-1.25575419990478,43,1
"511",7,-2.01320465159036,43,1
"512",8,-3.11998497249897,43,1
"513",9,-2.6114513792235,43,1
"514",10,-3.91812812683021,43,1
"515",11,-4.59227527548166,43,1
"516",12,-2.87280933976373,43,1
"517",1,0,44,1
"518",2,-1.76875635766716,44,1
"519",3,-1.88954719157997,44,1
"520",4,-2.72735453481229,44,1
"521",5,-3.17573189954119,44,1
"522",6,-3.8623713905566,44,1
"523",7,-4.53364123393786,44,1
"524",8,-4.87042436023513,44,1
"525",9,-3.83598873011607,44,1
"526",10,-5.56437318108744,44,1
"527",11,-5.34430644672152,44,1
"528",12,-5.23532886759588,44,1
"529",1,0,45,1
"530",2,0.349717386577599,45,1
"531",3,1.6215891923224,45,1
"532",4,1.94707453920954,45,1
"533",5,1.52500967132721,45,1
"534",6,0.504816496385276,45,1
"535",7,0.197549512851704,45,1
"536",8,-0.571244439344474,45,1
"537",9,1.8181148932071,45,1
"538",10,3.04964495483832,45,1
"539",11,4.9526582298658,45,1
"540",12,4.33514425306108,45,1
"541",1,0,46,1
"542",2,-0.159412807584134,46,1
"543",3,0.0872504365259106,46,1
"544",4,-0.776889977712809,46,1
"545",5,-0.769248575470819,46,1
"546",6,-0.0801018369036302,46,1
"547",7,0.395224825387289,46,1
"548",8,0.903937847304926,46,1
"549",9,1.61273402021378,46,1
"550",10,2.83333100198119,46,1
"551",11,1.96662640288154,46,1
"552",12,2.97806408664022,46,1
"553",1,0,47,1
"554",2,-1.76913443576376,47,1
"555",3,-0.970642455174066,47,1
"556",4,-1.54697059668244,47,1
"557",5,-2.07992437540354,47,1
"558",6,-2.22430909342626,47,1
"559",7,-3.49411447035063,47,1
"560",8,-6.04029853353053,47,1
"561",9,-6.54821337018031,47,1
"562",10,-6.57740168709817,47,1
"563",11,-6.48262548412779,47,1
"564",12,-6.24003258678373,47,1
"565",1,0,48,1
"566",2,-0.0323605156859774,48,1
"567",3,-0.800620979587789,48,1
"568",4,-1.57742041169302,48,1
"569",5,-1.47522941711866,48,1
"570",6,-0.699270859343887,48,1
"571",7,0.713339407277406,48,1
"572",8,1.44071963707548,48,1
"573",9,1.26168387647802,48,1
"574",10,1.69298113773357,48,1
"575",11,0.832547773844492,48,1
"576",12,1.36137272922401,48,1
"577",1,0,49,1
"578",2,-0.515256482480192,49,1
"579",3,-0.915968703403732,49,1
"580",4,-1.2077895287398,49,1
"581",5,-2.24665206191912,49,1
"582",6,-3.30818140327152,49,1
"583",7,-4.45673306111479,49,1
"584",8,-4.3314115512823,49,1
"585",9,-4.80268215310607,49,1
"586",10,-5.31252761764204,49,1
"587",11,-6.59582529477653,49,1
"588",12,-6.80686466942262,49,1
"589",1,0,50,0
"590",2,1.45671014468284,50,0
"591",3,1.94288964309539,50,0
"592",4,1.55821864643953,50,0
"593",5,1.09217043805397,50,0
"594",6,-0.387370059930908,50,0
"595",7,0.503247306377551,50,0
"596",8,1.90389237489406,50,0
"597",9,1.98757630650566,50,0
"598",10,1.51158147259837,50,0
"599",11,1.48689453822606,50,0
"600",12,0.620474698921116,50,0
"601",1,0,51,1
"602",2,-0.0841143216672364,51,1
"603",3,0.457594498624693,51,1
"604",4,2.66610627364317,51,1
"605",5,4.42060588025064,51,1
"606",6,5.46315389902538,51,1
"607",7,6.49953193549602,51,1
"608",8,5.63187878832219,51,1
"609",9,4.55719749144305,51,1
"610",10,5.14077777561197,51,1
"611",11,5.81552891121201,51,1
"612",12,5.19146528991119,51,1
"613",1,0,52,0
"614",2,-0.932638920806684,52,0
"615",3,0.468019623191812,52,0
"616",4,1.15014114981936,52,0
"617",5,2.98797420606162,52,0
"618",6,2.31581115276586,52,0
"619",7,1.79342520015695,52,0
"620",8,0.756125685715862,52,0
"621",9,2.71570421235848,52,0
"622",10,0.541206828137175,52,0
"623",11,0.434319291089221,52,0
"624",12,1.39086096299446,52,0
"625",1,0,53,1
"626",2,0.449794380745652,53,1
"627",3,-0.0444488313219383,53,1
"628",4,-1.03258454526187,53,1
"629",5,-2.28184978673088,53,1
"630",6,-2.71576801208202,53,1
"631",7,-4.12684798390135,53,1
"632",8,-4.12106983388064,53,1
"633",9,-3.54416898847414,53,1
"634",10,-4.48826984193542,53,1
"635",11,-6.5635886843932,53,1
"636",12,-7.90831832971996,53,1
"637",1,0,54,1
"638",2,0.0885833335073917,54,1
"639",3,1.12946072666624,54,1
"640",4,0.4843433385232,54,1
"641",5,0.969827995867354,54,1
"642",6,1.93384425497488,54,1
"643",7,-0.572583029509782,54,1
"644",8,-1.71730625260439,54,1
"645",9,-2.32261326167898,54,1
"646",10,-3.78825927597756,54,1
"647",11,-1.96128015392477,54,1
"648",12,-2.15790401331682,54,1
"649",1,0,55,1
"650",2,1.60865399345827,55,1
"651",3,2.4593331662116,55,1
"652",4,5.44660393044669,55,1
"653",5,5.4454747324248,55,1
"654",6,5.13085328645385,55,1
"655",7,3.78298309903283,55,1
"656",8,4.57000428384776,55,1
"657",9,6.06387138181324,55,1
"658",10,6.06715907448709,55,1
"659",11,7.53536701605744,55,1
"660",12,8.69416707611683,55,1
"661",1,0,56,1
"662",2,0.0923280503844078,56,1
"663",3,1.08205109082369,56,1
"664",4,0.370587886029049,56,1
"665",5,0.961668679549903,56,1
"666",6,3.31455107144102,56,1
"667",7,3.50183540188182,56,1
"668",8,4.46846599307125,56,1
"669",9,3.94495079913818,56,1
"670",10,4.71676092611471,56,1
"671",11,4.01535993148819,56,1
"672",12,2.53531225226959,56,1
"673",1,0,57,1
"674",2,1.79712052724254,57,1
"675",3,1.22734718228673,57,1
"676",4,2.88029936312577,57,1
"677",5,2.28182297709253,57,1
"678",6,2.33963280515589,57,1
"679",7,2.31520266986345,57,1
"680",8,1.81536754823917,57,1
"681",9,1.7235673152436,57,1
"682",10,3.18956834968664,57,1
"683",11,3.10800786890453,57,1
"684",12,2.41000917715333,57,1
"685",1,0,58,0
"686",2,-1.87013375859905,58,0
"687",3,0.124498513898152,58,0
"688",4,0.650562704101975,58,0
"689",5,-1.02652671448065,58,0
"690",6,0.373597388174055,58,0
"691",7,-1.06880243864768,58,0
"692",8,-1.40276401274276,58,0
"693",9,-0.896401750788252,58,0
"694",10,-0.659346588819113,58,0
"695",11,0.19766054327294,58,0
"696",12,-0.0841594225436554,58,0
"697",1,0,59,1
"698",2,-0.937688376923496,59,1
"699",3,0.0288065237957786,59,1
"700",4,-1.00737933006813,59,1
"701",5,-1.73057828781578,59,1
"702",6,-0.469981033420634,59,1
"703",7,-0.464929151738424,59,1
"704",8,0.720050183912898,59,1
"705",9,1.15352938046696,59,1
"706",10,-0.0295366854627235,59,1
"707",11,0.273798032698261,59,1
"708",12,1.03329717187416,59,1
"709",1,0,60,1
"710",2,-0.721000655383122,60,1
"711",3,-1.4657894360859,60,1
"712",4,-3.55367419365987,60,1
"713",5,-4.30858892266024,60,1
"714",6,-4.42925013077086,60,1
"715",7,-5.7016129315049,60,1
"716",8,-6.30712285683753,60,1
"717",9,-7.7706137716255,60,1
"718",10,-6.92435666712083,60,1
"719",11,-4.74090211462387,60,1
"720",12,-3.77567828002621,60,1
"721",1,0,61,0
"722",2,-0.0936057692083317,61,0
"723",3,0.918798025408298,61,0
"724",4,2.13578831486181,61,0
"725",5,0.832878263763805,61,0
"726",6,0.322243832354952,61,0
"727",7,0.154537832357679,61,0
"728",8,0.486591317708072,61,0
"729",9,0.552066189789914,61,0
"730",10,0.304716532496706,61,0
"731",11,-0.985616673023815,61,0
"732",12,-0.552706409346647,61,0
"733",1,0,62,0
"734",2,-1.94184971607119,62,0
"735",3,-1.8471392363169,62,0
"736",4,-2.27967095620923,62,0
"737",5,-1.9506760269258,62,0
"738",6,-3.51674199901746,62,0
"739",7,-2.94017953770379,62,0
"740",8,-1.71135875204692,62,0
"741",9,-2.13446310972247,62,0
"742",10,-2.54446367777199,62,0
"743",11,-2.66772968900378,62,0
"744",12,-2.10831156479906,62,0
"745",1,0,63,1
"746",2,0.740290919486939,63,1
"747",3,3.13551142482349,63,1
"748",4,2.35691675806134,63,1
"749",5,0.0771125516511635,63,1
"750",6,0.119483546297903,63,1
"751",7,0.162384557870752,63,1
"752",8,0.353812742267581,63,1
"753",9,0.518751264099909,63,1
"754",10,-0.518148988076572,63,1
"755",11,-0.909249083926933,63,1
"756",12,-1.06536468795077,63,1
"757",1,0,64,1
"758",2,-0.814965819146168,64,1
"759",3,0.0807089693353736,64,1
"760",4,-0.190045613270245,64,1
"761",5,0.156027142299793,64,1
"762",6,-0.605379497586986,64,1
"763",7,-0.140977004188687,64,1
"764",8,2.09006049868788,64,1
"765",9,2.50408978554349,64,1
"766",10,2.53793003358913,64,1
"767",11,2.21984307801378,64,1
"768",12,2.04665004126939,64,1
"769",1,0,65,1
"770",2,-0.787193616919784,65,1
"771",3,-1.49982544793864,65,1
"772",4,-2.64938667027363,65,1
"773",5,-1.93920494289881,65,1
"774",6,-0.891719280115531,65,1
"775",7,-2.94663698459844,65,1
"776",8,-4.98823086141139,65,1
"777",9,-5.24304028896129,65,1
"778",10,-5.72668111442114,65,1
"779",11,-5.41391341233128,65,1
"780",12,-5.61884506289662,65,1
"781",1,0,66,0
"782",2,1.30043959535659,66,0
"783",3,1.41222699890659,66,0
"784",4,0.225323560452671,66,0
"785",5,1.3242638511487,66,0
"786",6,-0.0311319854713994,66,0
"787",7,-0.883918510034785,66,0
"788",8,1.2924317743331,66,0
"789",9,0.834952539270061,66,0
"790",10,0.227528414505764,66,0
"791",11,-1.19857101026052,66,0
"792",12,-1.62036358679217,66,0
"793",1,0,67,1
"794",2,0.51035975333263,67,1
"795",3,1.18422378384695,67,1
"796",4,1.8994883521394,67,1
"797",5,1.82985537607813,67,1
"798",6,2.23054335754144,67,1
"799",7,2.47337052593141,67,1
"800",8,1.59778454905169,67,1
"801",9,3.88083016597821,67,1
"802",10,4.83247212464298,67,1
"803",11,4.97897442087987,67,1
"804",12,5.0703975453941,67,1
"805",1,0,68,1
"806",2,0.435544372464594,68,1
"807",3,-1.1741692507207,68,1
"808",4,-2.3504922220958,68,1
"809",5,-2.4043718888041,68,1
"810",6,-2.0613168861024,68,1
"811",7,-1.90256330756455,68,1
"812",8,-1.26849067922064,68,1
"813",9,-2.09364387945906,68,1
"814",10,-3.42112901974408,68,1
"815",11,-3.00585485665768,68,1
"816",12,-1.86282239279122,68,1
"817",1,0,69,0
"818",2,0.455967515659207,69,0
"819",3,-0.407054885796057,69,0
"820",4,0.210484043502633,69,0
"821",5,-0.589127878297532,69,0
